Date,Income,Category,Budget,Amount,Property,Monthly Overview,Type
"April 26, 2026",เงินเดือน + เงินประจำตำแหน่ง,Salary,"THB 27,720.00","THB 27,720.00",Yes,April 26 (https://app.notion.com/p/April-26-2c90423c142680d49359cb3961872ebf?pvs=21),🏧เงินเดือนจาก สสจ._APR26 (https://app.notion.com/p/_APR26-2c90423c142680888d22c538b74b39c6?pvs=21)
"April 28, 2026",DF cost,On duty,THB 420.00,THB 420.00,Yes,April 26 (https://app.notion.com/p/April-26-2c90423c142680d49359cb3961872ebf?pvs=21),🤷‍♂️เงิน DF_APR26 (https://app.notion.com/p/DF_APR26-2c90423c142680848f22fa79eeaa9b09?pvs=21)
"April 28, 2026",Hour cost,On duty,THB 600.00,THB 600.00,Yes,April 26 (https://app.notion.com/p/April-26-2c90423c142680d49359cb3961872ebf?pvs=21),⌚เงินรายชั่วโมง_APR26 (https://app.notion.com/p/_APR26-2c90423c14268006a70bc9177235a495?pvs=21)
"April 28, 2026",ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Top up,"THB 1,000.00","THB 1,000.00",Yes,April 26 (https://app.notion.com/p/April-26-2c90423c142680d49359cb3961872ebf?pvs=21),👍🏼เงิน top up_APR26 (https://app.notion.com/p/top-up_APR26-2c90423c1426805391bcff0b20adffde?pvs=21)
"May 5, 2026",Credit เงินคืน,Extra,"THB 1,865.00","THB 1,865.00",Yes,May 26 (https://app.notion.com/p/May-26-2c90423c142680f38700e9cdb6025968?pvs=21),👍🏼เงิน top up_MAY26 (https://app.notion.com/p/top-up_MAY26-2c90423c142680c48bc8c88588b66afc?pvs=21)
"May 6, 2026",Hour cost,On duty,THB 600.00,THB 600.00,Yes,May 26 (https://app.notion.com/p/May-26-2c90423c142680f38700e9cdb6025968?pvs=21),⌚เงินรายชั่วโมง_MAY26 (https://app.notion.com/p/_MAY26-2c90423c1426805b8e51fe259f8b1e0e?pvs=21)
"May 6, 2026",DF cost,On duty,THB 330.00,THB 330.00,Yes,May 26 (https://app.notion.com/p/May-26-2c90423c142680f38700e9cdb6025968?pvs=21),🤷‍♂️เงิน DF_MAY26 (https://app.notion.com/p/DF_MAY26-2c90423c1426808aaeade40061a9e1c0?pvs=21)
"May 6, 2026",ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Top up,"THB 1,000.00","THB 1,000.00",Yes,May 26 (https://app.notion.com/p/May-26-2c90423c142680f38700e9cdb6025968?pvs=21),👍🏼เงิน top up_MAY26 (https://app.notion.com/p/top-up_MAY26-2c90423c142680c48bc8c88588b66afc?pvs=21)
"May 9, 2026",ซื้อ TTCM,On duty,"THB 1,000.00",THB 990.00,Yes,May 26 (https://app.notion.com/p/May-26-2c90423c142680f38700e9cdb6025968?pvs=21),💉TTCM_MAY26 (https://app.notion.com/p/TTCM_MAY26-2c90423c14268088afc2ca858313012a?pvs=21)
"May 18, 2026",DF cost,On duty,THB 450.00,THB 450.00,Yes,May 26 (https://app.notion.com/p/May-26-2c90423c142680f38700e9cdb6025968?pvs=21),🤷‍♂️เงิน DF_MAY26 (https://app.notion.com/p/DF_MAY26-2c90423c1426808aaeade40061a9e1c0?pvs=21)
