Income,Property,Amount,Budget,Category,Date,Monthly Overview,Type
DF cost,Yes,THB 330.00,THB 330.00,On duty,"June 24, 2024",June 24 (https://app.notion.com/p/June-24-f0a893fb46524332a4cc44e0f7215b9f?pvs=21),🤷‍♂️เงิน DF_JUN24 (https://app.notion.com/p/DF_JUN24-7dd77c76e45e47e6b127bcc92e5cf4e8?pvs=21)
เงินเดือน,Yes,"THB 22,830.00","THB 22,830.00",Salary,"June 26, 2024",June 24 (https://app.notion.com/p/June-24-f0a893fb46524332a4cc44e0f7215b9f?pvs=21),🏧เงินเดือนจาก สสจ._JUN24 (https://app.notion.com/p/_JUN24-1ee96c0c7d2745819b18fd921cec4143?pvs=21)
Hour cost,Yes,THB 600.00,THB 600.00,On duty,"June 26, 2024",June 24 (https://app.notion.com/p/June-24-f0a893fb46524332a4cc44e0f7215b9f?pvs=21),⌚เงินรายชั่วโมง_JUN24 (https://app.notion.com/p/_JUN24-40e5cdaf054b43b68377460e6acd2a63?pvs=21)
DF cost,Yes,THB 480.00,THB 480.00,On duty,"June 26, 2024",June 24 (https://app.notion.com/p/June-24-f0a893fb46524332a4cc44e0f7215b9f?pvs=21),🤷‍♂️เงิน DF_JUN24 (https://app.notion.com/p/DF_JUN24-7dd77c76e45e47e6b127bcc92e5cf4e8?pvs=21)
ซื้อ TTCM,Yes,THB 990.00,"THB 1,000.00",On duty,"July 27, 2024",July 24 (https://app.notion.com/p/July-24-f8bc5305397e49e194ac2b0f1fc1ddd9?pvs=21),💉TTCM_JUL24 (https://app.notion.com/p/TTCM_JUL24-a99737ba994e4fcc80ee24c1d1147d7f?pvs=21)
ค่าชดเชยปกส.,Yes,THB 100.00,THB 100.00,Top up,"July 12, 2024",July 24 (https://app.notion.com/p/July-24-f8bc5305397e49e194ac2b0f1fc1ddd9?pvs=21),👍🏼เงิน top up_JUL24 (https://app.notion.com/p/top-up_JUL24-9d4326b4c7a94c008a4776f6f4f19d35?pvs=21)
ซื้อ TTCM,Yes,THB 990.00,"THB 1,000.00",On duty,"July 28, 2024",July 24 (https://app.notion.com/p/July-24-f8bc5305397e49e194ac2b0f1fc1ddd9?pvs=21),💉TTCM_JUL24 (https://app.notion.com/p/TTCM_JUL24-a99737ba994e4fcc80ee24c1d1147d7f?pvs=21)
เวรเหมา 1หมื่น,Yes,"THB 10,000.00","THB 10,000.00",On duty,"July 20, 2024",June 24 (https://app.notion.com/p/June-24-f0a893fb46524332a4cc44e0f7215b9f?pvs=21),👝เงินเวรเหมา_JUN24 (https://app.notion.com/p/_JUN24-ee234aea0fb04fb18d11c9cc7b052979?pvs=21)
เงินเดือน,Yes,"THB 22,830.00","THB 22,830.00",Salary,"July 25, 2024",July 24 (https://app.notion.com/p/July-24-f8bc5305397e49e194ac2b0f1fc1ddd9?pvs=21),🏧เงินเดือนจาก สสจ._JUL24 (https://app.notion.com/p/_JUL24-4fceacf527f74972b753c61183cb3f5e?pvs=21)
ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Yes,"THB 1,000.00","THB 1,000.00",Top up,"July 26, 2024",July 24 (https://app.notion.com/p/July-24-f8bc5305397e49e194ac2b0f1fc1ddd9?pvs=21),👍🏼เงิน top up_JUL24 (https://app.notion.com/p/top-up_JUL24-9d4326b4c7a94c008a4776f6f4f19d35?pvs=21)
